filepath,entity_name,entity_type,mythology,file_size,word_count,complete_data,styling_type,special_features,last_modified,has_images,link_count
mythos/_corpus-search-template.html,{{TITLE}} - {{MYTHOS}} Mythology Corpus Search,other,_corpus-search-template.html,4315,58,incomplete,css-vars|inline|external,special-symbols,2025-12-06,N,2
mythos/apocryphal/cosmology-map.html,Interactive Cosmology Map - Enochian Realms,cosmology,apocryphal,57027,1077,partial,css-vars|hardcoded|inline|external,interactive|svg|animations|special-symbols,2025-11-22,N,20
mythos/apocryphal/temple-mysteries.html,Celestial Temple & Mysteries - Apocryphal Mythology,other,apocryphal,91784,3772,partial,css-vars|hardcoded|inline|external,interactive|special-symbols,2025-11-22,N,23
mythos/apocryphal/enoch-visualizations.html,Enoch's Journey - Interactive Visualizations,other,apocryphal,62986,1534,partial,css-vars|hardcoded|inline|external,interactive|svg|animations|special-symbols,2025-11-22,N,23
mythos/apocryphal/portals-and-gates.html,Portal & Gate Mechanics - Enochian Cosmology,other,apocryphal,69637,2166,partial,css-vars|hardcoded|inline|external,interactive|animations|special-symbols,2025-11-22,N,23
mythos/aztec/deities/coatlicue.html,Aztec - Coatlicue,deity,aztec,18921,1094,complete,css-vars|hardcoded|inline|external,none,2025-12-15,N,19
mythos/aztec/deities/huitzilopochtli.html,Aztec - Huitzilopochtli,deity,aztec,17714,948,complete,css-vars|hardcoded|inline|external,none,2025-12-15,N,18
mythos/aztec/deities/quetzalcoatl.html,Aztec - Quetzalcoatl,deity,aztec,18020,944,complete,css-vars|inline|external,none,2025-12-15,N,19
mythos/aztec/deities/tezcatlipoca.html,Aztec - Tezcatlipoca,deity,aztec,18046,988,complete,css-vars|hardcoded|inline|external,none,2025-12-15,N,19
mythos/aztec/deities/tlaloc.html,Aztec - Tlaloc,deity,aztec,17737,999,complete,css-vars|hardcoded|inline|external,none,2025-12-15,N,17
mythos/babylonian/cosmology/apsu.html,Babylonian - Apsu,cosmology,babylonian,39055,1641,partial,css-vars|hardcoded|inline|external,interactive|special-symbols,2025-12-15,N,150
mythos/babylonian/cosmology/afterlife.html,Babylonian Afterlife - The,cosmology,babylonian,31331,1601,partial,css-vars|inline|external,special-symbols,2025-12-15,N,93
