html_file,html_word_count,firebase_collection,firebase_asset_id,firebase_asset_name,html_text_in_asset_pct,asset_text_in_html_pct,migration_percentage,migration_status
update-mythologies-in-browser.html,35,deities,chinese_jade-emperor,Chinese - Jade Emperor,10.53,9.09,9.81,Not Migrated
scripts/upload-content.html,121,items,gae-bolg,Gae Bolg,18.97,0.76,9.87,Not Migrated
BACKUP_PRE_MIGRATION/index.html,154,archetypes,hermetic,Hermetic,1.08,20.0,10.54,Not Migrated
BACKUP_PRE_MIGRATION/index_old.html,154,archetypes,hermetic,Hermetic,1.08,20.0,10.54,Not Migrated
dashboard.html,44,items,draupnir,Draupnir,20.83,0.29,10.56,Not Migrated
terms.html,477,items,draupnir,Draupnir,19.74,2.6,11.17,Not Migrated
theories/user-submissions/browse.html,97,items,brisingamen,Brísingamen,21.74,0.65,11.19,Not Migrated
scripts/migrate-to-firebase.html,164,items,kusanagi,Kusanagi-no-Tsurugi,21.54,0.89,11.21,Not Migrated
offline.html,111,items,hofud,Höfuð - Heimdall's Sword,21.82,0.81,11.31,Not Migrated
FIREBASE/mythos/roman/corpus-search.html,61,items,black-stone,Black Stone,22.22,0.48,11.35,Not Migrated
mythos/roman/corpus-search.html,61,items,black-stone,Black Stone,22.22,0.48,11.35,Not Migrated
FIREBASE/theories/user-submissions/browse.html,97,items,brisingamen,Brísingamen,22.22,0.65,11.43,Not Migrated
FIREBASE/mythos/sumerian/corpus-search.html,203,items,kusanagi,Kusanagi-no-Tsurugi,21.88,1.34,11.61,Not Migrated
mythos/sumerian/corpus-search.html,203,items,kusanagi,Kusanagi-no-Tsurugi,21.88,1.34,11.61,Not Migrated
debug-dashboard.html,54,archetypes,hermetic,Hermetic,3.23,20.0,11.62,Not Migrated
FIREBASE/theories/user-submissions/edit.html,120,items,athena-aegis,Aegis of Athena,22.22,1.03,11.62,Not Migrated
scripts/migration-report-template.html,160,items,athena-aegis,Aegis of Athena,22.22,1.03,11.62,Not Migrated
theories/user-submissions/edit.html,120,items,athena-aegis,Aegis of Athena,22.22,1.03,11.62,Not Migrated
FIREBASE/cache-stats.html,74,items,gungnir,Gungnir,23.08,0.61,11.84,Not Migrated
FIREBASE/mythos/_corpus-search-template.html,58,items,black-stone,Black Stone,23.33,0.56,11.94,Not Migrated
mythos/_corpus-search-template.html,58,items,black-stone,Black Stone,23.33,0.56,11.94,Not Migrated
FIREBASE/mythos/christian/corpus-search.html,63,items,holy-grail,Holy Grail,24.14,0.69,12.42,Not Migrated
mythos/christian/corpus-search.html,63,items,holy-grail,Holy Grail,24.14,0.69,12.42,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/index.html,879,items,ark-of-covenant,Ark of the Covenant,19.36,5.55,12.46,Not Migrated
mythos/christian/teachings/sermon-on-mount/index.html,879,items,ark-of-covenant,Ark of the Covenant,19.36,5.55,12.46,Not Migrated
preferences.html,381,creatures,angels,Angels,1.84,23.08,12.46,Not Migrated
FIREBASE/magic/practical/index.html,334,items,eye-of-horus,Eye of Horus,22.43,2.82,12.62,Not Migrated
magic/practical/index.html,334,items,eye-of-horus,Eye of Horus,22.43,2.82,12.62,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/structure.html,812,items,athena-aegis,Aegis of Athena,20.76,4.58,12.67,Not Migrated
mythos/christian/teachings/sermon-on-mount/structure.html,812,items,athena-aegis,Aegis of Athena,20.76,4.58,12.67,Not Migrated
500.html,107,items,brisingamen,Brísingamen,24.59,0.97,12.78,Not Migrated
mythos/babylonian/creatures/mushussu.html,400,items,kusanagi,Kusanagi-no-Tsurugi,22.97,3.05,13.01,Not Migrated
FIREBASE/mythos/buddhist/corpus-search.html,63,items,gandiva,Gandiva,25.93,0.43,13.18,Not Migrated
mythos/buddhist/corpus-search.html,63,items,gandiva,Gandiva,25.93,0.43,13.18,Not Migrated
mythos/sumerian/cosmology/anunnaki.html,708,items,eye-of-horus,Eye of Horus,22.36,4.23,13.29,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/beatitudes-overview.html,689,items,gandiva,Gandiva,22.73,3.98,13.36,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/blessed-mourn.html,936,rituals,christian_baptism,Baptism,15.26,11.46,13.36,Not Migrated
mythos/christian/teachings/sermon-on-mount/beatitudes-overview.html,689,items,gandiva,Gandiva,22.73,3.98,13.36,Not Migrated
mythos/christian/teachings/sermon-on-mount/blessed-mourn.html,936,rituals,christian_baptism,Baptism,15.26,11.46,13.36,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/blessed-poor-in-spirit.html,1045,items,ark-of-covenant,Ark of the Covenant,19.91,6.96,13.44,Not Migrated
mythos/christian/teachings/sermon-on-mount/blessed-poor-in-spirit.html,1045,items,ark-of-covenant,Ark of the Covenant,19.91,6.96,13.44,Not Migrated
progress-dashboard.html,82,items,hofud,Höfuð - Heimdall's Sword,26.32,0.67,13.5,Not Migrated
mythos/jewish/kabbalah/sefirot/physics-integration.html,217,mythologies,jewish,Jewish Tradition,8.2,18.87,13.54,Not Migrated
FIREBASE/mythos/hindu/corpus-search.html,61,items,gandiva,Gandiva,26.92,0.43,13.68,Not Migrated
mythos/christian/texts/revelation/144000.html,259,items,ark-of-covenant,Ark of the Covenant,24.63,2.73,13.68,Not Migrated
mythos/hindu/corpus-search.html,61,items,gandiva,Gandiva,26.92,0.43,13.68,Not Migrated
FIREBASE/magic/ritual/index.html,224,items,eye-of-horus,Eye of Horus,25.56,2.0,13.78,Not Migrated
magic/ritual/index.html,224,items,eye-of-horus,Eye of Horus,25.56,2.0,13.78,Not Migrated
FIREBASE/mythos/jewish/kabbalah/sefirot/physics-integration.html,205,mythologies,jewish,Jewish Tradition,8.77,18.87,13.82,Not Migrated
FIREBASE/mythos/tarot/learn.html,1111,items,holy-grail,Holy Grail,17.39,10.27,13.83,Not Migrated
mythos/tarot/learn.html,1111,items,holy-grail,Holy Grail,17.39,10.27,13.83,Not Migrated
FIREBASE/herbalism/universal/index.html,264,items,mugwort,Mugwort,17.88,9.89,13.88,Not Migrated
herbalism/universal/index.html,264,items,mugwort,Mugwort,17.88,9.89,13.88,Not Migrated
mythos/christian/texts/revelation/seven-trumpets.html,250,items,eye-of-horus,Eye of Horus,25.74,2.06,13.9,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/love-enemies.html,1536,rituals,christian_baptism,Baptism,13.07,14.82,13.95,Not Migrated
mythos/christian/teachings/sermon-on-mount/love-enemies.html,1536,rituals,christian_baptism,Baptism,13.07,14.82,13.95,Not Migrated
mythos/comparative/flood-myths/comparative-flood-chart.html,1293,places,mount-ararat,Mount Ararat,3.78,24.11,13.95,Not Migrated
FIREBASE/herbalism/traditions/index.html,196,herbs,buddhist_preparations,Buddhist Mythology,4.13,23.81,13.97,Not Migrated
herbalism/traditions/index.html,196,herbs,buddhist_preparations,Buddhist Mythology,4.13,23.81,13.97,Not Migrated
mythos/comparative/gilgamesh-biblical/temple-prostitution.html,1677,cosmology,sumerian_me,Me (Divine Powers),2.13,25.81,13.97,Not Migrated
FIREBASE/mythos/comparative/flood-myths/comparative-flood-chart.html,1266,places,mount-ararat,Mount Ararat,3.86,24.11,13.98,Not Migrated
FIREBASE/mythos/comparative/gilgamesh-biblical/temple-prostitution.html,1650,items,eye-of-horus,Eye of Horus,19.7,8.51,14.11,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/impossible-standard.html,1428,heroes,christian_andrew,The First Called,1.39,26.92,14.16,Not Migrated
mythos/christian/teachings/sermon-on-mount/impossible-standard.html,1428,heroes,christian_andrew,The First Called,1.39,26.92,14.16,Not Migrated
mythos/christian/texts/revelation/seven-churches.html,641,items,draupnir,Draupnir,23.85,4.5,14.18,Not Migrated
mythos/christian/texts/revelation/four-horsemen.html,1002,items,gae-bolg,Gae Bolg,21.91,6.48,14.2,Not Migrated
FIREBASE/mythos/christian/texts/revelation/seven-churches.html,608,items,draupnir,Draupnir,24.12,4.33,14.23,Not Migrated
FIREBASE/mythos/christian/texts/revelation/seven-trumpets.html,217,items,eye-of-horus,Eye of Horus,26.67,1.88,14.28,Not Migrated
mythos/christian/texts/revelation/new-creation.html,495,cosmology,christian_salvation,Christian Cosmology,7.82,20.88,14.35,Not Migrated
FIREBASE/mythos/christian/texts/revelation/144000.html,226,items,ark-of-covenant,Ark of the Covenant,26.27,2.57,14.42,Not Migrated
FIREBASE/mythos/christian/texts/revelation/four-horsemen.html,942,items,gjallarhorn,Gjallarhorn,22.86,6.05,14.46,Not Migrated
mythos/comparative/gilgamesh-biblical/immortality-quest.html,2346,cosmology,christian_salvation,Christian Cosmology,2.63,26.37,14.5,Not Migrated
FIREBASE/mythos/christian/gnostic/divine-pursuit.html,1124,items,draupnir,Draupnir,22.86,6.17,14.52,Not Migrated
FIREBASE/theories/user-submissions/index.html,431,items,hofud,Höfuð - Heimdall's Sword,25.0,4.03,14.52,Not Migrated
mythos/christian/gnostic/divine-pursuit.html,1124,items,draupnir,Draupnir,22.86,6.17,14.52,Not Migrated
theories/user-submissions/index.html,431,items,hofud,Höfuð - Heimdall's Sword,25.0,4.03,14.52,Not Migrated
FIREBASE/mythos/comparative/gilgamesh-biblical/immortality-quest.html,2319,cosmology,christian_salvation,Christian Cosmology,2.68,26.37,14.53,Not Migrated
FIREBASE/mythos/egyptian/corpus-search.html,78,items,gandiva,Gandiva,28.57,0.61,14.59,Not Migrated
mythos/egyptian/corpus-search.html,78,items,gandiva,Gandiva,28.57,0.61,14.59,Not Migrated
mythos/christian/teachings/sermon-on-mount/lords-prayer.html,1679,heroes,jewish_assumption-tradition,Eyes of Azrael,0.63,28.57,14.6,Not Migrated
FIREBASE/mythos/christian/teachings/sermon-on-mount/lords-prayer.html,1652,heroes,jewish_assumption-tradition,Eyes of Azrael,0.65,28.57,14.61,Not Migrated
mythos/christian/texts/revelation/seven-seals.html,208,items,gjallarhorn,Gjallarhorn,27.12,2.13,14.62,Not Migrated
FIREBASE/mythos/tarot/rituals/celtic-cross.html,1110,items,draupnir,Draupnir,22.93,6.41,14.67,Not Migrated
mythos/christian/texts/revelation/mark-of-beast.html,367,texts,christian_mark-of-beast,666,3.35,26.09,14.72,Not Migrated
FIREBASE/mythos/tarot/reading.html,297,rituals,tarot_celtic-cross,Tarot Rituals,2.88,26.67,14.78,Not Migrated
mythos/tarot/reading.html,297,rituals,tarot_celtic-cross,Tarot Rituals,2.88,26.67,14.78,Not Migrated
FIREBASE/mythos/chinese/corpus-search.html,228,items,kusanagi,Kusanagi-no-Tsurugi,27.59,2.04,14.81,Not Migrated
mythos/chinese/corpus-search.html,228,items,kusanagi,Kusanagi-no-Tsurugi,27.59,2.04,14.81,Not Migrated
FIREBASE/mythos/christian/texts/revelation/mark-of-beast.html,334,texts,christian_mark-of-beast,666,3.66,26.09,14.88,Not Migrated
mythos/christian/lineage/luke-genealogy.html,1076,items,ark-of-covenant,Ark of the Covenant,22.33,7.46,14.89,Not Migrated
archetypes/elemental-archetypes/air/index.html,394,items,eye-of-horus,Eye of Horus,26.34,3.46,14.9,Not Migrated
FIREBASE/archetypes/elemental-archetypes/air/index.html,394,items,eye-of-horus,Eye of Horus,26.34,3.46,14.9,Not Migrated
mythos/christian/texts/revelation/parallels/isaiah-parallels.html,1124,items,kusanagi,Kusanagi-no-Tsurugi,24.36,5.47,14.91,Not Migrated
